981297 function calls (969090 primitive calls) in 0.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
       44    0.000    0.000    0.001    0.000 _base.py:51(__init__)
       87    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       63    0.000    0.000    0.001    0.000 inspect.py:3206(__str__)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
     1777    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
       68    0.000    0.000    0.001    0.000 traceback.py:301(line)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
      109    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
      138    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
       56    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
       51    0.000    0.000    0.001    0.000 linecache.py:26(getline)
       34    0.001    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
       22    0.000    0.000    0.001    0.000 pyparsing.py:4847(parseImpl)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:1(<module>)
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      314    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
       60    0.000    0.000    0.001    0.000 __init__.py:829(_open_file_or_url)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      314    0.001    0.000    0.001    0.000 sre_parse.py:356(_escape)
       51    0.000    0.000    0.001    0.000 linecache.py:36(getlines)
       33    0.000    0.000    0.001    0.000 contextlib.py:130(__enter__)
        1    0.000    0.000    0.001    0.001 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 figure.py:181(FigureBase)
      342    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
     7497    0.001    0.000    0.001    0.000 inspect.py:2687(name)
